SCE_KERNEL_ERROR_EPERM,CE-30001-4,0x80020001,Operation not permitted
SCE_NP_MATCHING2_SERVER_ERROR_TITLE_PASSPHRASE_MISMATCH,NP-31984-5,0x80550D1E,Title passphrase is wrong
SCE_NP_MATCHING2_SERVER_ERROR_LOBBY_ALREADY_EXIST,NP-31985-6,0x80550D25,Lobby already exists
SCE_NP_MATCHING2_SERVER_ERROR_ROOM_ALREADY_EXIST,NP-31986-7,0x80550D26,Room already exists
SCE_NP_MATCHING2_SERVER_ERROR_CONSOLE_BANNED,NP-31987-8,0x80550D28,Banned console
SCE_NP_MATCHING2_SERVER_ERROR_NO_ROOMGROUP,NP-31988-9,0x80550D29,Room group must be specified
SCE_NP_MATCHING2_SERVER_ERROR_NO_SUCH_GROUP,NP-31989-0,0x80550D2A,No such group
SCE_NP_MATCHING2_SERVER_ERROR_NO_PASSWORD,NP-31990-2,0x80550D2B,Password must be specified
SCE_NP_MATCHING2_SERVER_ERROR_INVALID_GROUP_SLOT_NUM,NP-31991-3,0x80550D2C,Invalid group slot num
SCE_NP_MATCHING2_SERVER_ERROR_INVALID_PASSWORD_SLOT_MASK,NP-31992-4,0x80550D2D,Invalid password slot mask
SCE_NP_MATCHING2_SERVER_ERROR_DUPLICATE_GROUP_LABEL,NP-31993-5,0x80550D2E,Duplicate group label
SCE_NP_MATCHING2_SERVER_ERROR_REQUEST_OVERFLOW,NP-31994-6,0x80550D2F,Request overflow
SCE_NP_MATCHING2_SERVER_ERROR_ALREADY_JOINED,NP-31995-7,0x80550D30,Already joined
SCE_NP_MATCHING2_SERVER_ERROR_NAT_TYPE_MISMATCH,NP-31996-8,0x80550D31,Could not join due to NAT type issue
SCE_NP_MATCHING2_SERVER_ERROR_ROOM_INCONSISTENCY,NP-31997-9,0x80550D32,Temporary error
SCE_NP_MATCHING2_SERVER_ERROR_BLOCKED_USER_IN_ROOM,NP-31998-0,0x80550D33,A user in your block list is in the room
SCE_NP_MATCHING2_SIGNALING_ERROR_NOT_INITIALIZED,NP-31999-1,0x80550E01,---
SCE_NP_MATCHING2_SIGNALING_ERROR_ALREADY_INITIALIZED,NP-32000-5,0x80550E02,---
SCE_NP_MATCHING2_SIGNALING_ERROR_OUT_OF_MEMORY,NP-32001-6,0x80550E03,---
SCE_NP_MATCHING2_SIGNALING_ERROR_CTXID_NOT_AVAILABLE,NP-32002-7,0x80550E04,---
SCE_NP_MATCHING2_SIGNALING_ERROR_CTX_NOT_FOUND,NP-32003-8,0x80550E05,---
SCE_NP_MATCHING2_SIGNALING_ERROR_REQID_NOT_AVAILABLE,NP-32004-9,0x80550E06,---
SCE_NP_MATCHING2_SIGNALING_ERROR_REQ_NOT_FOUND,NP-32005-0,0x80550E07,---
SCE_NP_MATCHING2_SIGNALING_ERROR_PARSER_CREATE_FAILED,NP-32006-1,0x80550E08,---
SCE_NP_MATCHING2_SIGNALING_ERROR_PARSER_FAILED,NP-32007-2,0x80550E09,---
SCE_NP_MATCHING2_SIGNALING_ERROR_INVALID_NAMESPACE,NP-32008-3,0x80550E0A,---
SCE_NP_MATCHING2_SIGNALING_ERROR_NETINFO_NOT_AVAILABLE,NP-32009-4,0x80550E0B,---
SCE_NP_MATCHING2_SIGNALING_ERROR_PEER_NOT_RESPONDING,NP-32010-6,0x80550E0C,---
SCE_NP_MATCHING2_SIGNALING_ERROR_CONNID_NOT_AVAILABLE,NP-32011-7,0x80550E0D,---
SCE_NP_MATCHING2_SIGNALING_ERROR_CONN_NOT_FOUND,NP-32012-8,0x80550E0E,---
SCE_NP_MATCHING2_SIGNALING_ERROR_PEER_UNREACHABLE,NP-32013-9,0x80550E0F,---
SCE_NP_MATCHING2_SIGNALING_ERROR_TERMINATED_BY_PEER,NP-32014-0,0x80550E10,---
SCE_NP_MATCHING2_SIGNALING_ERROR_TIMEOUT,NP-32015-1,0x80550E11,---
SCE_NP_MATCHING2_SIGNALING_ERROR_CTX_MAX,NP-32016-2,0x80550E12,---
SCE_NP_MATCHING2_SIGNALING_ERROR_RESULT_NOT_FOUND,NP-32017-3,0x80550E13,---
SCE_NP_MATCHING2_SIGNALING_ERROR_CONN_IN_PROGRESS,NP-32018-4,0x80550E14,---
SCE_NP_MATCHING2_SIGNALING_ERROR_INVALID_ARGUMENT,NP-32019-5,0x80550E15,---
SCE_NP_MATCHING2_SIGNALING_ERROR_OWN_NP_ID,NP-32020-7,0x80550E16,---
SCE_NP_MATCHING2_SIGNALING_ERROR_TOO_MANY_CONN,NP-32021-8,0x80550E17,---
SCE_NP_MATCHING2_SIGNALING_ERROR_TERMINATED_BY_MYSELF,NP-32022-9,0x80550E18,---
SCE_NP_MATCHING2_SIGNALING_ERROR_MATCHING2_PEER_NOT_FOUND,NP-32023-0,0x80550E19,---
SCE_NP_MATCHING2_SIGNALING_ERROR_OWN_PEER_ADDRESS,NP-41365-9,0x80550E1A,---
SCE_NP_TROPHY_ERROR_UNKNOWN,NP-32024-1,0x80551600,Internal error
SCE_NP_TROPHY_ERROR_NOT_INITIALIZED,NP-32025-2,0x80551601,NpTrophy library is not initialized.
SCE_NP_TROPHY_ERROR_ALREADY_INITIALIZED,NP-32026-3,0x80551602,NpTrophy library is already initialized.
SCE_NP_TROPHY_ERROR_OUT_OF_MEMORY,NP-32027-4,0x80551603,Not enough memory
SCE_NP_TROPHY_ERROR_INVALID_ARGUMENT,NP-32028-5,0x80551604,invalid argument
SCE_NP_TROPHY_ERROR_INSUFFICIENT_BUFFER,NP-32029-6,0x80551605,insufficient buffer to continue processing.
SCE_NP_TROPHY_ERROR_EXCEEDS_MAX,NP-32030-8,0x80551606,exceeded the maximum value.
SCE_NP_TROPHY_ERROR_ABORT,NP-32031-9,0x80551607,Handle is aborted.
SCE_NP_TROPHY_ERROR_INVALID_HANDLE,NP-32032-0,0x80551608,Invalid handle
SCE_NP_TROPHY_ERROR_INVALID_CONTEXT,NP-32033-1,0x80551609,Invalid context
SCE_NP_TROPHY_ERROR_INVALID_TROPHY_ID,NP-32034-2,0x8055160A,Invalid trophy id.
SCE_NP_TROPHY_ERROR_INVALID_GROUP_ID,NP-32035-3,0x8055160B,Invalid group id.
SCE_NP_TROPHY_ERROR_TROPHY_ALREADY_UNLOCKED,NP-32036-4,0x8055160C,Trophy has already been unlocked
SCE_NP_TROPHY_ERROR_PLATINUM_CANNOT_UNLOCK,NP-32037-5,0x8055160D,Platinum trophy cannot be unlocked.
SCE_NP_TROPHY_ERROR_ACCOUNTID_NOT_MATCH,NP-32038-6,0x8055160E,Account id does not match
SCE_NP_TROPHY_ERROR_NOT_REGISTERED,NP-32039-7,0x8055160F,Context is not registered.
SCE_NP_TROPHY_ERROR_ALREADY_REGISTERED,NP-32040-9,0x80551610,Context is already registered.
SCE_NP_TROPHY_ERROR_BROKEN_DATA,NP-32041-0,0x80551611,Trophy data is corrupted
SCE_NP_TROPHY_ERROR_INSUFFICIENT_SPACE,NP-32042-1,0x80551612,There is not enough available space on the internal hdd.
SCE_NP_TROPHY_ERROR_CONTEXT_ALREADY_EXISTS,NP-32043-2,0x80551613,Context is already exists.
SCE_NP_TROPHY_ERROR_ICON_FILE_NOT_FOUND,NP-32044-3,0x80551614,Icon file not found.
SCE_NP_TROPHY_ERROR_INVALID_TRP_FILE_FORMAT,NP-32046-5,0x80551616,Invalid trophy pack file format.
SCE_NP_TROPHY_ERROR_UNSUPPORTED_TRP_FILE,NP-32047-6,0x80551617,Unsupported trophy pack file.
SCE_NP_TROPHY_ERROR_INVALID_TROPHY_CONF_FORMAT,NP-32048-7,0x80551618,Invalid trophy configuration.
SCE_NP_TROPHY_ERROR_UNSUPPORTED_TROPHY_CONF,NP-32049-8,0x80551619,Unspoorted trophy configuration.
SCE_NP_TROPHY_ERROR_TROPHY_NOT_UNLOCKED,NP-32050-0,0x8055161A,Trophy has not been unlocked.
SCE_NP_TROPHY_ERROR_USER_NOT_FOUND,NP-32052-2,0x8055161C,User not found
SCE_NP_TROPHY_ERROR_USER_NOT_LOGGED_IN,NP-32053-3,0x8055161D,user is not logged in.
SCE_NP_TROPHY_ERROR_CONTEXT_USER_LOGOUT,NP-32054-4,0x8055161E,context is inavlid due to user linked to context logging out.
SCE_NP_TROPHY_ERROR_USE_TRP_FOR_DEVELOPMENT,NP-32055-5,0x8055161F,trophy pack file with the For Development flag cannot used in release mode.
SCE_NP_TROPHY_ERROR_INVALID_NP_TITLE_ID,NP-32056-6,0x80551620,invalid NpTitleId.
SCE_NP_TROPHY_ERROR_INVALID_NP_SERVICE_LABEL,NP-34354-9,0x80551621,Invalid NpServiceLabel
SCE_NP_TROPHY_ERROR_NOT_SUPPORTED,NP-34355-0,0x80551622,feature is not supported
SCE_NP_TROPHY_ERROR_CONTEXT_EXCEEDS_MAX,NP-34356-1,0x80551623,Maximum number of contexts has been exceeded.
SCE_NP_TROPHY_ERROR_HANDLE_EXCEEDS_MAX,NP-34357-2,0x80551624,Maximum number of handles has been exceeded.
SCE_NP_TROPHY_ERROR_INVALID_USER_ID,NP-34840-9,0x80551625,user id is invalid
SCE_NP_TROPHY_ERROR_TITLE_CONF_NOT_INSTALLED,NP-34927-5,0x80551626,title configration is not installed.
SCE_NP_TROPHY_ERROR_BROKEN_TITLE_CONF,NP-34928-6,0x80551627,installed trophy configration data is corrupted.
SCE_NP_TROPHY_ERROR_INCONSISTENT_TITLE_CONF,NP-36005-4,0x80551628,installing inconsistent trophy-set.
SCE_NP_TROPHY_ERROR_TITLE_BACKGROUND,NP-40795-5,0x80551629,A function unavailable in BG state was used in BG state.
SCE_NP_TROPHY_ERROR_UNSUPPORTED_TITLE,NP-40796-6,0x8055162A,The function is not supported for the title.
SCE_NP_TROPHY_ERROR_SCREENSHOT_DISABLED,NP-41366-0,0x8055162B,Screenshot feature is disabled.
SCE_NP_TROPHY_ERROR_SCREENSHOT_GOTO_PROCESS_SUSPEND,NP-41367-1,0x8055162C,The system goes to suspend.
SCE_NP_TROPHY_ERROR_SCREENSHOT_DISPLAY_BUFFER_NOT_IN_USE,NP-41368-2,0x8055162D,Display buffer is not in use.
SCE_NP_TROPHY_ERROR_SCREENSHOT_DISPLAY_BUFFER_ON_MUTE,NP-41369-3,0x8055162E,Display buffer is on mute.
SCE_NP_TROPHY_ERROR_SCREENSHOT_DISPLAY_BUFFER_TOO_BIG,NP-41370-5,0x8055162F,Display buffer is too big.
SCE_NP_TROPHY_ERROR_SCREENSHOT_DISPLAY_BUFFER_RETRY_COUNT_MAX,NP-41371-6,0x80551630,Retry count exceeds. (flip frequency is too high)
SCE_NP_TROPHY_ERROR_TITLE_PARAM_FILE_NOT_FOUND,NP-32112-9,0x805516B7,TitleParamFile is not found
SCE_NP_TROPHY_ERROR_SERVICE_LABEL_NOT_MATCH,NP-34940-0,0x805516F7,service label is not matched.
SCE_NP_BANDWIDTH_TEST_ERROR_NOT_INITIALIZED,NP-32166-8,0x80551F02,Not initialized NP bandwidth test library.
SCE_NP_BANDWIDTH_TEST_ERROR_BAD_RESPONSE,NP-32167-9,0x80551F03,Communication error occured during communication with server.
SCE_NP_BANDWIDTH_TEST_ERROR_OUT_OF_MEMORY,NP-32168-0,0x80551F04,Could not allocate enough memory.
SCE_NP_BANDWIDTH_TEST_ERROR_INVALID_ARGUMENT,NP-32169-1,0x80551F05,The specified argument is invalid.
SCE_NP_BANDWIDTH_TEST_ERROR_INVALID_SIZE,NP-32170-3,0x80551F06,Structure size specified in size member of the structure is invalid.
SCE_NP_BANDWIDTH_TEST_ERROR_CONTEXT_NOT_AVAILABLE,NP-32171-4,0x80551F07,Context not abailable.
SCE_NP_PARTY_ERROR_UNKNOWN,NP-32172-5,0x80552501,The error is not defined.
SCE_NP_PARTY_ERROR_ALREADY_INITIALIZED,NP-32173-6,0x80552502,The NpParty library is already initialized.
SCE_NP_PARTY_ERROR_NOT_INITIALIZED,NP-32174-7,0x80552503,The NpParty library is not initialized.
SCE_NP_PARTY_ERROR_INVALID_ARGUMENT,NP-32175-8,0x80552504,An inappropriate parameter was supplied to the function.
SCE_NP_PARTY_ERROR_OUT_OF_MEMORY,NP-32176-9,0x80552505,The operation ran out of memory.
SCE_NP_PARTY_ERROR_NOT_IN_PARTY,NP-32177-0,0x80552506,The party member is not in a party.
SCE_NP_PARTY_ERROR_VOICE_NOT_ENABLED,NP-32178-1,0x80552507,The SceNpPartyVoiceEventHandler event handler was not registered.
SCE_NP_PARTY_ERROR_MEMBER_NOT_FOUND,NP-32179-2,0x80552508,The party member with the specified ID was not found.
SCE_NP_PARTY_ERROR_SEND_BUSY,NP-32180-4,0x80552509,The network is either busy or you have exceeded the allowable bandwidth.
SCE_NP_PARTY_ERROR_SEND_OUT_OF_CONTEXT,NP-32181-5,0x80552510,The binary message could not be sent because the party member has an incompatible SceNpTitleId.
SCE_NP_PARTY_ERROR_INVALID_STATE,NP-32182-6,0x80552511,An API call was made in an invalid state.
SCE_NP_PARTY_ERROR_INVALID_LOCAL_PARTY_MEMBER,NP-32183-7,0x80552512,An API call was made for a user on this console who does not exist.
SCE_NP_PARTY_ERROR_INVALID_PROCESS_TYPE,NP-34378-5,0x80552513,The calling process type is not a game process.
SCE_NP_PARTY_ERROR_GAME_SESSION_NOT_ENABLED,NP-37594-8,0x80552514,The SceNpPartyGameSessionEventHandler event handler was not registered.
SCE_NP_PARTY_ERROR_INVALID_PARTY_NO_FRIENDS,NP-41770-9,0x80552515,No friends are in the party being joined.
SCE_NP_PARTY_ERROR_INVALID_PARTY_IS_GAME_SESSION,NP-41771-0,0x80552516,The party being joined is a game session.
SCE_NP_SNS_FACEBOOK_ERROR_UNKNOWN,NP-32184-8,0x80552601,Internal error
SCE_NP_SNS_FACEBOOK_ERROR_INVALID_ARGUMENT,NP-32185-9,0x80552602,Any argument is invalid
SCE_NP_SNS_FACEBOOK_ERROR_OUT_OF_MEMORY,NP-32186-0,0x80552603,There is not enough memory
SCE_NP_SNS_FACEBOOK_ERROR_EXCEEDS_MAX,NP-32187-1,0x80552604,Created more than maximum number of requests at one time.
SCE_NP_SNS_FACEBOOK_ERROR_UGM_RESTRICTION,NP-32188-2,0x80552605,Obsolete error code.
SCE_NP_SNS_FACEBOOK_ERROR_ABORTED,NP-32189-3,0x80552606,Operations were aborted
SCE_NP_SNS_FACEBOOK_ERROR_ACCOUNT_NOT_BOUND,NP-32190-5,0x80552607,The Facebook account has not been registered
SCE_NP_SNS_FACEBOOK_ERROR_CANCELED_BY_SYSTEM,NP-32191-6,0x80552608,"Communication has been forcibly canceled by the system. This occurs when an application is suspended, etc."
SCE_NP_SNS_FACEBOOK_ERROR_SUB_ACCOUNT,NP-35692-5,0x80552609,Facebook coordination functionalities cannot be used because the account is sub-account.
SCE_NP_SIGNALING_ERROR_NOT_INITIALIZED,NP-32192-7,0x80552701,Library is not initialized
SCE_NP_SIGNALING_ERROR_ALREADY_INITIALIZED,NP-32193-8,0x80552702,Libirary is already initialized.
SCE_NP_SIGNALING_ERROR_OUT_OF_MEMORY,NP-32194-9,0x80552703,Out of memory
SCE_NP_SIGNALING_ERROR_CTXID_NOT_AVAILABLE,NP-32195-0,0x80552704,Context ID is not available
SCE_NP_SIGNALING_ERROR_CTX_NOT_FOUND,NP-32196-1,0x80552705,Context is not found
SCE_NP_SIGNALING_ERROR_REQID_NOT_AVAILABLE,NP-32197-2,0x80552706,Request ID is not available
SCE_NP_SIGNALING_ERROR_REQ_NOT_FOUND,NP-32198-3,0x80552707,Request is not found
SCE_NP_SIGNALING_ERROR_PARSER_CREATE_FAILED,NP-32199-4,0x80552708,Internal error in parse
SCE_NP_SIGNALING_ERROR_PARSER_FAILED,NP-32200-7,0x80552709,Internal error in parse
SCE_NP_SIGNALING_ERROR_INVALID_NAMESPACE,NP-32201-8,0x8055270A,Invalid namespace
SCE_NP_SIGNALING_ERROR_NETINFO_NOT_AVAILABLE,NP-32202-9,0x8055270B,NetInfo is not available
SCE_NP_SIGNALING_ERROR_PEER_NOT_RESPONDING,NP-32203-0,0x8055270C,Peer is not responding
SCE_NP_SIGNALING_ERROR_CONNID_NOT_AVAILABLE,NP-32204-1,0x8055270D,Can not obtain a connection id
SCE_NP_SIGNALING_ERROR_CONN_NOT_FOUND,NP-32205-2,0x8055270E,The Specified connection does not exist
SCE_NP_SIGNALING_ERROR_PEER_UNREACHABLE,NP-32206-3,0x8055270F,Peer is not unreachable
SCE_NP_SIGNALING_ERROR_TERMINATED_BY_PEER,NP-32207-4,0x80552710,Connection was terminated by peer
SCE_NP_SIGNALING_ERROR_TIMEOUT,NP-32208-5,0x80552711,timeout
SCE_NP_SIGNALING_ERROR_CTX_MAX,NP-32209-6,0x80552712,Can not create more context
SCE_NP_SIGNALING_ERROR_RESULT_NOT_FOUND,NP-32210-8,0x80552713,Specified result does not exist
SCE_NP_SIGNALING_ERROR_CONN_IN_PROGRESS,NP-32211-9,0x80552714,Making connection now in progress
SCE_NP_SIGNALING_ERROR_INVALID_ARGUMENT,NP-32212-0,0x80552715,Invalid argument
SCE_NP_SIGNALING_ERROR_OWN_NP_ID,NP-32213-1,0x80552716,Specified own NP ID
SCE_NP_SIGNALING_ERROR_TOO_MANY_CONN,NP-32214-2,0x80552717,too many connection
SCE_NP_SIGNALING_ERROR_TERMINATED_BY_MYSELF,NP-32215-3,0x80552718,terminated connection by myself
SCE_NP_SIGNALING_ERROR_PROHIBITED_TO_USE,NP-34943-3,0x80552719,It is prohibited to use NpSignaling library.
SCE_NP_SIGNALING_ERROR_EXCEED_RATE_LIMIT,NP-36007-6,0x8055271A,Exceeded rate limit
SCE_NP_SIGNALING_ERROR_OWN_PEER_ADDRESS,NP-41374-9,0x8055271B,Specified own Peer Address
SCE_NP_WEBAPI_ERROR_OUT_OF_MEMORY,NP-32216-4,0x80552901,Memory is not enough
SCE_NP_WEBAPI_ERROR_INVALID_ARGUMENT,NP-32217-5,0x80552902,Invalid argument
SCE_NP_WEBAPI_ERROR_INVALID_LIB_CONTEXT_ID,NP-32218-6,0x80552903,Invalid library context id
SCE_NP_WEBAPI_ERROR_LIB_CONTEXT_NOT_FOUND,NP-32219-7,0x80552904,Library context does not exist
SCE_NP_WEBAPI_ERROR_USER_CONTEXT_NOT_FOUND,NP-32220-9,0x80552905,User context does not exist
SCE_NP_WEBAPI_ERROR_REQUEST_NOT_FOUND,NP-32221-0,0x80552906,Request does not exist
SCE_NP_WEBAPI_ERROR_NOT_SIGNED_IN,NP-32222-1,0x80552907,Called api which requirs user to be signed in when not be signed in.
SCE_NP_WEBAPI_ERROR_INVALID_CONTENT_PARAMETER,NP-32223-2,0x80552908,Invalid content parameter
SCE_NP_WEBAPI_ERROR_ABORTED,NP-32224-3,0x80552909,Process was aborted
SCE_NP_WEBAPI_ERROR_USER_CONTEXT_ALREADY_EXIST,NP-32225-4,0x8055290A,The specified user's user context already exists
SCE_NP_WEBAPI_ERROR_PUSH_EVENT_FILTER_NOT_FOUND,NP-32226-5,0x8055290B,Push event filter corresponding to the filter id does not exist
SCE_NP_WEBAPI_ERROR_PUSH_EVENT_CALLBACK_NOT_FOUND,NP-32227-6,0x8055290C,Push event callback corresponding to the id does not exist
SCE_NP_WEBAPI_ERROR_HANDLE_NOT_FOUND,NP-32228-7,0x8055290D,Handle corresponding to the id does not exist
SCE_NP_WEBAPI_ERROR_SERVICE_PUSH_EVENT_FILTER_NOT_FOUND,NP-32229-8,0x8055290E,Service push event filter corresponding to the filter id does not exist
SCE_NP_WEBAPI_ERROR_SERVICE_PUSH_EVENT_CALLBACK_NOT_FOUND,NP-32230-0,0x8055290F,Service push event callback corresponding to the id does not exist
SCE_NP_WEBAPI_ERROR_SIGNED_IN_USER_NOT_FOUND,NP-32231-1,0x80552910,No users signed in
SCE_NP_WEBAPI_ERROR_LIB_CONTEXT_BUSY,NP-34379-6,0x80552911,Can not delete a liburary context when it is in use
SCE_NP_WEBAPI_ERROR_USER_CONTEXT_BUSY,NP-34380-8,0x80552912,Can not delete an user context when it is in use
SCE_NP_WEBAPI_ERROR_REQUEST_BUSY,NP-34381-9,0x80552913,Can not delete a request when it is in use
SCE_NP_WEBAPI_ERROR_INVALID_HTTP_STATUS_CODE,NP-34382-0,0x80552914,Specified the invalid http status code to sceNpWebApiGetErrorCode().
SCE_NP_WEBAPI_ERROR_PROHIBITED_HTTP_HEADER,NP-34383-1,0x80552915,Specified a prohibited http header
SCE_NP_WEBAPI_ERROR_PROHIBITED_FUNCTION_CALL,NP-34944-4,0x80552916,Called a prohibited function
SCE_NP_WEBAPI_ERROR_MULTIPART_PART_NOT_FOUND,NP-34945-5,0x80552917,Multipart part corresponding to the part index does not exist
SCE_NP_WEBAPI_ERROR_PARAMETER_TOO_LONG,NP-34946-6,0x80552918,Parameter is too long
SCE_NP_WEBAPI_ERROR_HANDLE_BUSY,NP-36008-7,0x80552919,Can not delete a handle when it is in use
SCE_NP_WEBAPI_ERROR_LIB_CONTEXT_MAX,NP-37517-3,0x8055291A,Number of library context reached max
SCE_NP_WEBAPI_ERROR_USER_CONTEXT_MAX,NP-37518-4,0x8055291B,Number of user context reached max
SCE_NP_WEBAPI_ERROR_EXTD_PUSH_EVENT_FILTER_NOT_FOUND,NP-37595-9,0x8055291C,Extended push event filter corresponding to the filter id does not exist
SCE_NP_WEBAPI_ERROR_EXTD_PUSH_EVENT_CALLBACK_NOT_FOUND,NP-37596-0,0x8055291D,Extended push event callback corresponding to the id does not exist
SCE_NP_WEBAPI_ERROR_AFTER_SEND,NP-38547-7,0x8055291E,Sending process already started.
SCE_NP_WEBAPI_ERROR_TIMEOUT,NP-39225-1,0x8055291F,Process was timed out
SCE_NP_AUTH_SERVER_ERROR_UNKNOWN,NP-32232-2,0x80552A00,An unknown error was received from the server
SCE_NP_AUTH_SERVER_ERROR_INVALID_REQUEST,NP-32233-3,0x80552A01,"The request is missing a required parameter, includes an invalid parameter value."
SCE_NP_AUTH_SERVER_ERROR_UNAUTHORIZED_CLIENT,NP-32234-4,0x80552A02,The client is not authorized to request an authorization code using this method.
SCE_NP_AUTH_SERVER_ERROR_ACCESS_DENIED,NP-32235-5,0x80552A03,The resource owner or authorization server denied the request.
SCE_NP_AUTH_SERVER_ERROR_UNSUPPORTED_RESPONSE_TYPE,NP-32236-6,0x80552A04,The authorization server does not support obtaining an authorization code using this method.
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_05,NP-32237-7,0x80552A05,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_SERVER_ERROR,NP-32238-8,0x80552A06,Internal server error.
SCE_NP_AUTH_SERVER_ERROR_TEMPORARILY_UNAVAILABLE,NP-32239-9,0x80552A07,The authorization server is currently unable to handle the request due to a temporary overloading or maintenance of the server.
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_08,NP-32240-1,0x80552A08,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_INVALID_GRANT,NP-32241-2,0x80552A09,The provided authorization grant is invalid.
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_0A,NP-32242-3,0x80552A0A,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_10,NP-32243-4,0x80552A10,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_11,NP-32244-5,0x80552A11,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_12,NP-32245-6,0x80552A12,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_13,NP-32246-7,0x80552A13,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_14,NP-32247-8,0x80552A14,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_15,NP-32248-9,0x80552A15,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_16,NP-32249-0,0x80552A16,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_17,NP-32250-2,0x80552A17,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_18,NP-32251-3,0x80552A18,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_19,NP-34384-2,0x80552A19,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_1A,NP-34385-3,0x80552A1A,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_1B,NP-34386-4,0x80552A1B,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_1C,NP-34387-5,0x80552A1C,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_1D,NP-34947-7,0x80552A1D,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_80,NP-32252-4,0x80552A80,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_81,NP-32253-5,0x80552A81,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_82,NP-32254-6,0x80552A82,obsolete error code
SCE_NP_AUTH_SERVER_ERROR_OBSOLETE_83,NP-32255-7,0x80552A83,obsolete error code
SCE_NP_IN_GAME_MESSAGE_ERROR_OUT_OF_MEMORY,NP-32256-8,0x80552B01,Memory is not enough
SCE_NP_IN_GAME_MESSAGE_ERROR_INVALID_ARGUMENT,NP-32257-9,0x80552B02,Invalid argument
SCE_NP_IN_GAME_MESSAGE_ERROR_LIB_CONTEXT_NOT_FOUND,NP-32258-0,0x80552B03,Library context corresponding to the specified library context id does not exist
SCE_NP_IN_GAME_MESSAGE_ERROR_NOT_SIGNED_IN,NP-32259-1,0x80552B04,Called api which requir user to be signed in when user isn't signed in.
SCE_NP_IN_GAME_MESSAGE_ERROR_HANDLE_NOT_FOUND,NP-32260-3,0x80552B05,Handle corresponding to the id does not exist
SCE_NP_IN_GAME_MESSAGE_ERROR_ABORTED,NP-32261-4,0x80552B06,Process was aborted
SCE_NP_IN_GAME_MESSAGE_ERROR_SIGNED_IN_USER_NOT_FOUND,NP-32262-5,0x80552B07,No users are signed in
SCE_NP_IN_GAME_MESSAGE_ERROR_NOT_PREPARED,NP-32263-6,0x80552B08,Not yet call sceNpInGameMessagePrepare()
SCE_NP_IN_GAME_MESSAGE_ERROR_EXCEED_RATE_LIMIT,NP-36009-8,0x80552B09,Exceeded rate limit
SCE_TOOLKIT_NP_ERROR_INVALID_POINTER,NP-36010-0,0x80552C00,An error occurred because an invalid pointer was passed as an argument.
SCE_TOOLKIT_NP_ERROR_OUT_OF_MEMORY,NP-36011-1,0x80552C01,An error occurred because memory allocation failed.
SCE_TOOLKIT_NP_ERROR_INVALID_ARGUMENT,NP-36012-2,0x80552C02,An error occurred because an argument to a method was incorrect.
SCE_TOOLKIT_NP_ERROR_INVALID_USER,NP-36013-3,0x80552C03,An error occurred because the user given is not valid.
SCE_TOOLKIT_NP_ERROR_INVALID_WEBAPI_RESPONSE,NP-36014-4,0x80552C04,An error occurred because an invalid response was received from the SEN server.
SCE_TOOLKIT_NP_ERROR_RETRIEVING_USER_CONTEXT,NP-36015-5,0x80552C05,An error occurred because a service could not be obtained for the user.
SCE_TOOLKIT_NP_ERROR_INIT,NP-36016-6,0x80552C06,An error was caused during the execution of initialization code.
SCE_TOOLKIT_NP_ERROR_INIT_INVALID_MEM_MANAGER,NP-36017-7,0x80552C07,An error occurred because the memory manager passed as an argument that was invalid.
SCE_TOOLKIT_NP_ERROR_FAILED_ALLOCATE,NP-36018-8,0x80552C08,An error occurred because the ToolkitNp library failed to allocate memory for an object.
SCE_TOOLKIT_NP_ERROR_ALREADY_INITIALISED,NP-36019-9,0x80552C09,An error occurred because the ToolkitNp library has already been initialized.
SCE_TOOLKIT_NP_ERROR_INIT_START_THREAD,NP-36020-1,0x80552C0A,An error occurred because the thread starting function failed. This was most likely due to locking errors.
